purpose_text,transaction_type
tsa ,Government & Legal
side hustle store afternoon,Income
boltbus,Transportation
reward txn966670,Income
wealth management  australia,Financial Services
mt bank uk,Financial Services
budget station,Transportation
spectrum canada,Utilities & Services
peter pan australia,Transportation
mcdonalds ,Food & Dining
white castle australia,Food & Dining
police department branch center night,Government & Legal
laser tag ,Entertainment & Recreation
jimmy johns,Food & Dining
dillards store branch,Shopping & Retail
social security center,Income
hulu store,Entertainment & Recreation
cleveland clinic,Healthcare & Medical
cargo,Transportation
annuity txn675127,Income
white castle,Food & Dining
reward usa,Income
mbta weekday,Transportation
marta,Transportation
blimpie usa txn,Food & Dining
water park  center,Entertainment & Recreation
santander store downtown,Financial Services
blood test store center txn,Healthcare & Medical
pension,Income
mcdonalds,Food & Dining
verizon,Utilities & Services
homeless shelter txn,Charity & Donations
wifi hotspot ,Utilities & Services
donation ,Charity & Donations
chiropractor  dinner time,Healthcare & Medical
dominos store branch downtown,Food & Dining
chiropractor,Healthcare & Medical
wealth management store,Financial Services
greenpeace  afternoon,Charity & Donations
lab canada,Healthcare & Medical
credit union,Financial Services
netflix  center,Entertainment & Recreation
church,Charity & Donations
side hustle,Income
greyhound,Transportation
boltbus  canada hospital,Transportation
bookkeeping australia,Financial Services
police department uk,Government & Legal
chevron  store,Transportation
hm canada store,Shopping & Retail
officemax india txn,Shopping & Retail
consolidated communications  india store lunch time,Utilities & Services
satellite internet india station,Utilities & Services
temple ,Charity & Donations
sephora ,Shopping & Retail
internet provider  canada,Utilities & Services
marshals ,Government & Legal
ski resort india,Entertainment & Recreation
rite aid,Healthcare & Medical
fifth third  txn,Financial Services
raising canes txn,Food & Dining
greenpeace lunch time,Charity & Donations
nsa,Government & Legal
red cross,Charity & Donations
hertz,Transportation
government store residential,Government & Legal
neurologist store,Healthcare & Medical
phone company,Utilities & Services
offering,Charity & Donations
salary branch,Income
sephora center,Shopping & Retail
temple ,Charity & Donations
zara store strip mall,Shopping & Retail
united ,Transportation
comcast ,Utilities & Services
lyft,Transportation
sephora  weekday,Shopping & Retail
emergency services ,Government & Legal
enterprise india,Transportation
stanford health,Healthcare & Medical
medicaid,Government & Legal
turo  rush hour,Transportation
cinemark,Entertainment & Recreation
pharmacy,Healthcare & Medical
spca usa,Charity & Donations
satellite internet ,Utilities & Services
urologist  store,Healthcare & Medical
veterans organization usa store,Charity & Donations
offering campus,Charity & Donations
windstream,Utilities & Services
paintball branch station,Entertainment & Recreation
firehouse subs,Food & Dining
baja fresh mall,Food & Dining
bookkeeping,Financial Services
festival  station,Entertainment & Recreation
saks off th  uk,Shopping & Retail
gokart store,Entertainment & Recreation
wwf,Charity & Donations
sparklight canada,Utilities & Services
greyhound  shopping center,Transportation
salary australia,Income
pizza hut store,Food & Dining
windstream store,Utilities & Services
surgery,Healthcare & Medical
cleveland clinic  rush hour,Healthcare & Medical
starlink usa,Utilities & Services
mayo clinic txn,Healthcare & Medical
insurance ,Financial Services
jimmy johns,Food & Dining
belk usa,Shopping & Retail
mta shopping center,Transportation
shell txn,Transportation
goodwill txn,Charity & Donations
turo  airport,Transportation
hardees,Food & Dining
lord taylor,Shopping & Retail
mosque,Charity & Donations
dollar  australia lunch time,Transportation
senior center ,Charity & Donations
credit union  store,Financial Services
rental income 2193,Income
concert uk store,Entertainment & Recreation
border patrol txn,Government & Legal
johns hopkins uk store night,Healthcare & Medical
tax australia,Government & Legal
investment,Financial Services
investment bank,Financial Services
belk  branch,Shopping & Retail
border patrol  txn,Government & Legal
cinemark,Entertainment & Recreation
bojangles store,Food & Dining
payroll 2414,Income
starbucks ,Food & Dining
homeless shelter store txn,Charity & Donations
subway mall,Food & Dining
insurance,Financial Services
service,Government & Legal
habitat for humanity  holiday,Charity & Donations
allegiant  canada store,Transportation
office depot ,Shopping & Retail
culvers hospital,Food & Dining
dsl shopping center,Utilities & Services
dollar general store,Shopping & Retail
humane society store,Charity & Donations
cox rush hour,Utilities & Services
greyhound  usa,Transportation
brokerage,Financial Services
mediacom  downtown,Utilities & Services
religious organization,Charity & Donations
urologist rush hour,Healthcare & Medical
national australia,Transportation
veterans organization,Charity & Donations
childrens hospital weekend,Healthcare & Medical
comcast  txn,Utilities & Services
atm uk,Financial Services
red cross,Charity & Donations
taxi,Transportation
frontier,Utilities & Services
church  usa,Charity & Donations
barneys new york,Shopping & Retail
best buy  afternoon,Shopping & Retail
dsl campus,Utilities & Services
shake shack  holiday,Food & Dining
maven,Transportation
moes southwest grill  mall,Food & Dining
legal canada,Government & Legal
cable one ,Utilities & Services
contract work,Income
bowling alley  store weekday,Entertainment & Recreation
chipotle ,Food & Dining
allegiant ,Transportation
mcdonalds  uk hospital,Food & Dining
mediacom,Utilities & Services
regal,Entertainment & Recreation
parking ,Transportation
golf course store,Entertainment & Recreation
transfer ,Financial Services
broadband,Utilities & Services
bmo harris store,Financial Services
train,Transportation
yoga studio  txn,Entertainment & Recreation
target morning,Food & Dining
tj maxx  store,Shopping & Retail
yoga studio  india store,Entertainment & Recreation
refund australia weekend,Income
social security hospital,Government & Legal
chickfila ,Food & Dining
uber weekend,Transportation
zaxbys,Food & Dining
notary residential,Government & Legal
cable one branch,Utilities & Services
dollar tree  australia,Shopping & Retail
synagogue store,Charity & Donations
oxfam,Charity & Donations
business wifi airport,Utilities & Services
ulta uk strip mall,Shopping & Retail
crunch fitness  lunch time,Entertainment & Recreation
cedarssinai txn,Healthcare & Medical
kaiser permanente canada evening,Healthcare & Medical
sparklight australia,Utilities & Services
target,Shopping & Retail
greenpeace store,Charity & Donations
whataburger,Food & Dining
carnival evening,Entertainment & Recreation
chiropractor india mall,Healthcare & Medical
potbelly  store,Food & Dining
cia india,Government & Legal
office depot,Shopping & Retail
office depot store,Shopping & Retail
overtime canada center,Income
investment bank store weekday,Financial Services
fbi ,Government & Legal
cable company  airport,Utilities & Services
dollar general,Shopping & Retail
marshals australia business district,Government & Legal
marta  india,Transportation
dea ,Government & Legal
sparklight usa store,Utilities & Services
arbys,Food & Dining
youth organization india store shopping center,Charity & Donations
notary,Government & Legal
huntington bank  store,Financial Services
religious organization  uk,Charity & Donations
subway,Food & Dining
macys store txn,Shopping & Retail
local food bank strip mall,Charity & Donations
marshalls  station,Shopping & Retail
fbi,Government & Legal
suntrust,Financial Services
service store center txn,Government & Legal
bank of america uk,Financial Services
dermatologist center,Healthcare & Medical
saks off th  holiday,Shopping & Retail
paintball branch,Entertainment & Recreation
rite aid,Shopping & Retail
credit union rush hour,Financial Services
wwf,Charity & Donations
arbys,Food & Dining
reimbursement 3824,Income
reimbursement,Income
childrens hospital store,Healthcare & Medical
childrens hospital campus,Healthcare & Medical
canes morning,Food & Dining
doctors without borders  mall,Charity & Donations
cinemark txn,Entertainment & Recreation
gofundme ,Charity & Donations
walgreens morning,Healthcare & Medical
zoo,Entertainment & Recreation
red cross ,Charity & Donations
trampoline park,Entertainment & Recreation
loan,Financial Services
cable one,Utilities & Services
humane society india,Charity & Donations
aspca store,Charity & Donations
bowling alley ,Entertainment & Recreation
fifth third,Financial Services
train,Transportation
consolidated communications store,Utilities & Services
southwest airlines  store,Transportation
internet provider txn,Utilities & Services
bergdorf goodman,Shopping & Retail
wendys rush hour,Food & Dining
visa txn,Government & Legal
surgery,Healthcare & Medical
temple txn,Charity & Donations
gift  residential,Charity & Donations
xray strip mall,Healthcare & Medical
mobile store business district,Utilities & Services
comerica,Financial Services
capital gains,Income
cleveland clinic usa,Healthcare & Medical
cia ,Government & Legal
cox australia,Utilities & Services
credit store branch,Income
wow morning,Utilities & Services
bookkeeping india store,Financial Services
atm,Financial Services
netflix,Entertainment & Recreation
accounting,Financial Services
legal,Government & Legal
municipal building ,Government & Legal
office depot,Shopping & Retail
optimum,Utilities & Services
budget,Transportation
cable one  store txn,Utilities & Services
amazon prime ,Entertainment & Recreation
officemax,Shopping & Retail
gym hospital,Entertainment & Recreation
noodles company india,Food & Dining
five guys center txn,Food & Dining
accounting usa store,Financial Services
irs center,Government & Legal
greenpeace,Charity & Donations
chiropractor canada,Healthcare & Medical
national parks ,Charity & Donations
retirement uk store,Financial Services
frontier  store,Transportation
freelance station,Income
reimbursement uk,Income
fire department,Government & Legal
wow ,Utilities & Services
tmobile  center txn,Utilities & Services
youtube store evening,Entertainment & Recreation
cold stone creamery center,Food & Dining
convention center,Entertainment & Recreation
rite aid store weekend,Healthcare & Medical
psychiatrist store,Healthcare & Medical
mayo clinic center,Healthcare & Medical
nordstrom  usa,Shopping & Retail
mutual fund weekday,Financial Services
animal shelter,Charity & Donations
ambulance ,Government & Legal
saks off th,Shopping & Retail
dollar txn,Transportation
bank,Financial Services
mobile,Utilities & Services
tax store,Government & Legal
county clerk  store,Government & Legal
la fitness center txn,Entertainment & Recreation
cox center,Utilities & Services
equinox store,Entertainment & Recreation
refund store center weekend,Income
overtime 4280 canada,Income
jack in the box  uk,Food & Dining
emergency services,Government & Legal
convention center store,Entertainment & Recreation
habitat for humanity india,Charity & Donations
pure barre usa,Entertainment & Recreation
gamestop dinner time,Shopping & Retail
verizon,Utilities & Services
gynecologist canada store,Healthcare & Medical
pnc bank night,Financial Services
potbelly uk,Food & Dining
spca,Charity & Donations
starbucks,Food & Dining
state police,Government & Legal
barnes noble,Shopping & Retail
tennis court store branch weekday,Entertainment & Recreation
cedarssinai,Healthcare & Medical
comcast australia,Utilities & Services
water company  night,Utilities & Services
bank india,Financial Services
consulting,Income
fulltime station,Income
cvs canada center,Shopping & Retail
target store mall,Food & Dining
legal uk hospital,Government & Legal
chickfila txn,Food & Dining
mt bank,Financial Services
quiznos  store,Food & Dining
ucla medical  lunch time,Healthcare & Medical
cox morning,Utilities & Services
surgery,Healthcare & Medical
sprint shopping center,Utilities & Services
disney+  usa,Entertainment & Recreation
consulting 2319,Income
atlantic broadband ,Utilities & Services
southwest airlines ,Transportation
paramedic txn,Government & Legal
occupational therapy,Healthcare & Medical
fedex office uk store,Shopping & Retail
windstream center downtown,Utilities & Services
donation,Charity & Donations
paramedic  store,Government & Legal
license usa,Government & Legal
wendys  australia store,Food & Dining
world vision campus,Charity & Donations
walgreens,Shopping & Retail
income canada,Income
banking uk branch,Financial Services
sixt usa store center,Transportation
red cross ,Charity & Donations
directv  txn,Utilities & Services
mass general  store,Healthcare & Medical
capital one ,Financial Services
big lots,Shopping & Retail
reimbursement 8294 india,Income
hm,Shopping & Retail
permit,Government & Legal
salary store,Income
lyft,Transportation
social security txn719479,Income
home depot  center,Shopping & Retail
charter ,Utilities & Services
direct deposit txn453278,Income
safeway pharmacy  canada hospital,Healthcare & Medical
dsl center,Utilities & Services
escape room store,Entertainment & Recreation
best buy ,Shopping & Retail
town hall branch,Government & Legal
pharmacy,Healthcare & Medical
regions bank,Financial Services
royalty,Income
canes center strip mall,Food & Dining
pharmacy canada evening,Healthcare & Medical
spca uk,Charity & Donations
stock holiday,Financial Services
canes  australia store,Food & Dining
homeless shelter usa,Charity & Donations
bowling alley store,Entertainment & Recreation
cox  morning,Utilities & Services
unicef australia,Charity & Donations
dairy queen,Food & Dining
wage branch downtown,Income
jimmy johns txn,Food & Dining
sick pay 4070 night,Income
orthopedist ,Healthcare & Medical
gig work afternoon,Income
licensing 8900 txn367303,Income
disability 5119,Income
toll  store,Transportation
salary,Income
saks off th  usa,Shopping & Retail
enterprise downtown,Transportation
irs  store,Government & Legal
cable company usa,Utilities & Services
ups store ,Shopping & Retail
gym australia,Entertainment & Recreation
macys afternoon,Shopping & Retail
bergdorf goodman ,Shopping & Retail
bloomingdales,Shopping & Retail
fundraising,Charity & Donations
boltbus,Transportation
water company,Utilities & Services
urologist center txn,Healthcare & Medical
electric company usa,Utilities & Services
clinic store,Healthcare & Medical
contract work uk,Income
tax  store dinner time,Government & Legal
notary,Government & Legal
cedarssinai,Healthcare & Medical
sheriff,Government & Legal
world vision,Charity & Donations
capitol store,Government & Legal
atf center,Government & Legal
sixt usa branch strip mall,Transportation
tax preparation,Financial Services
dmv,Government & Legal
southwest airlines residential,Transportation
childrens hospital store holiday,Healthcare & Medical
fulltime,Income
senate uk,Government & Legal
nordstrom rack ,Shopping & Retail
escape room store evening,Entertainment & Recreation
insurance  store,Financial Services
santander,Financial Services
mt bank hospital,Financial Services
audubon society  business district,Charity & Donations
occupational therapy branch,Healthcare & Medical
concert hospital,Entertainment & Recreation
banking store,Financial Services
peta,Charity & Donations
atf center,Government & Legal
wow ,Utilities & Services
payroll canada,Income
secret service canada,Government & Legal
festival canada branch,Entertainment & Recreation
nature conservancy  hospital,Charity & Donations
chase  usa,Financial Services
social security morning,Income
childrens hospital ,Healthcare & Medical
amc,Entertainment & Recreation
dart business district,Transportation
transfer store holiday,Financial Services
oxfam,Charity & Donations
consulting,Income
regions bank india,Financial Services
peta ,Charity & Donations
von maur ,Shopping & Retail
dividend,Income
ulta  store,Shopping & Retail
wealth management ,Financial Services
cable internet  uk shopping center,Utilities & Services
metro,Transportation
immigration ,Government & Legal
cvs,Healthcare & Medical
kroger pharmacy uk downtown,Healthcare & Medical
walmart ,Shopping & Retail
 hour fitness ,Entertainment & Recreation
spirit,Transportation
fire department,Government & Legal
dollar tree  store,Shopping & Retail
disability 5212 india,Income
chipotle,Food & Dining
emergency room uk,Healthcare & Medical
verizon dinner time,Utilities & Services
gig work 9302 store,Income
turo,Transportation
wifi  airport,Utilities & Services
potbelly usa txn,Food & Dining
animal shelter,Charity & Donations
county clerk hospital,Government & Legal
jersey mikes canada campus,Food & Dining
officemax downtown,Shopping & Retail
water park canada hospital,Entertainment & Recreation
medicaid usa downtown,Government & Legal
church center,Charity & Donations
nature conservancy uk,Charity & Donations
consulting mall,Income
rental income branch,Income
quiznos,Food & Dining
occupational therapy branch,Healthcare & Medical
cable internet ,Utilities & Services
animal shelter ,Charity & Donations
hsbc,Financial Services
golds gym store,Entertainment & Recreation
orange theory,Entertainment & Recreation
canes,Food & Dining
cvs,Healthcare & Medical
public wifi  usa store lunch time,Utilities & Services
baja fresh,Food & Dining
alaska airlines ,Transportation
walmart pharmacy ,Healthcare & Medical
pharmacy australia,Healthcare & Medical
disney+ india downtown,Entertainment & Recreation
licensing 2019,Income
doctors without borders,Charity & Donations
theater store branch,Entertainment & Recreation
chase store,Financial Services
animal shelter ,Charity & Donations
reward branch,Income
target  center txn,Food & Dining
county clerk txn,Government & Legal
hospital txn,Healthcare & Medical
consulting txn719051,Income
united way,Charity & Donations
viasat,Utilities & Services
banking india,Financial Services
dillards,Shopping & Retail
ucsf medical,Healthcare & Medical
regions bank  evening,Financial Services
centurylink uk campus,Utilities & Services
rental income 1703,Income
suntrust uk dinner time,Financial Services
loan,Financial Services
cable one,Utilities & Services
laser tag  uk,Entertainment & Recreation
brokerage ,Financial Services
whataburger,Food & Dining
suddenlink  airport,Utilities & Services
fitness store,Entertainment & Recreation
paramedic  center,Government & Legal
five guys ,Food & Dining
lord taylor,Shopping & Retail
charity  india txn,Charity & Donations
hulu,Entertainment & Recreation
yoga studio txn,Entertainment & Recreation
amtrak australia downtown,Transportation
cable company  store,Utilities & Services
white house usa,Government & Legal
dollar general,Shopping & Retail
fiber,Utilities & Services
rite aid airport,Healthcare & Medical
notary  uk,Government & Legal
salvation army ,Charity & Donations
ski resort,Entertainment & Recreation
deposit,Income
business wifi,Utilities & Services
county clerk,Government & Legal
dollar general store,Shopping & Retail
wendys,Food & Dining
youth organization,Charity & Donations
sephora ,Shopping & Retail
viasat canada,Utilities & Services
ulta shopping center,Shopping & Retail
swimming pool ,Entertainment & Recreation
contract work txn821234,Income
panda express ,Food & Dining
goodwill txn,Charity & Donations
gokart ,Entertainment & Recreation
wow rush hour,Utilities & Services
quiznos ,Food & Dining
permit  store,Government & Legal
theater branch,Entertainment & Recreation
consulting,Income
royalty,Income
jack in the box morning,Food & Dining
target ,Shopping & Retail
paternity leave evening,Income
royalty usa,Income
chevron uk,Transportation
flixbus  india,Transportation
visa  night,Government & Legal
museum branch txn,Entertainment & Recreation
mutual fund,Financial Services
digital bank weekend,Financial Services
border patrol store campus,Government & Legal
amc  txn,Entertainment & Recreation
pnc bank,Financial Services
county clerk  india center campus,Government & Legal
innout australia store,Food & Dining
uniqlo center txn,Shopping & Retail
laser tag,Entertainment & Recreation
investment ,Financial Services
trader joes,Food & Dining
registration  usa branch,Government & Legal
temple,Charity & Donations
federal building,Government & Legal
hospital  downtown,Healthcare & Medical
trampoline park branch,Entertainment & Recreation
comerica,Financial Services
bookkeeping india branch morning,Financial Services
zipcar,Transportation
viasat,Utilities & Services
bbt ,Financial Services
firehouse subs lunch time,Food & Dining
annuity,Income
pnc bank,Financial Services
soulcycle business district,Entertainment & Recreation
ems store,Government & Legal
burlington australia store,Shopping & Retail
loan campus,Financial Services
cable company,Utilities & Services
dental store,Healthcare & Medical
panera bread  uk,Food & Dining
tennis court,Entertainment & Recreation
five guys ,Food & Dining
hardees,Food & Dining
brigham and womens uk,Healthcare & Medical
local church  store,Charity & Donations
gynecologist uk center,Healthcare & Medical
white house weekend,Government & Legal
theater lunch time,Entertainment & Recreation
saks off th ,Shopping & Retail
potbelly,Food & Dining
verizon  uk,Utilities & Services
youtube store night,Entertainment & Recreation
electric company india,Utilities & Services
royalty australia,Income
red cross,Charity & Donations
retirement india branch,Financial Services
chevron  strip mall,Transportation
temple,Charity & Donations
white castle,Food & Dining
post office uk business district,Government & Legal
charity txn,Charity & Donations
eleven  station,Transportation
amnesty international campus,Charity & Donations
bbt  india branch txn,Financial Services
gamestop station,Shopping & Retail
sparklight  store,Utilities & Services
paintball  store,Entertainment & Recreation
raising canes txn,Food & Dining
turo  branch,Transportation
amtrak,Transportation
homeless shelter evening,Charity & Donations
cvs store campus,Shopping & Retail
burger king,Food & Dining
panera bread ,Food & Dining
highway patrol,Government & Legal
psychiatrist,Healthcare & Medical
temple ,Charity & Donations
permit usa center morning,Government & Legal
shake shack rush hour,Food & Dining
broadband,Utilities & Services
taxi india,Transportation
planet fitness dinner time,Entertainment & Recreation
tennis court,Entertainment & Recreation
mass general canada txn,Healthcare & Medical
paternity leave 5762 australia evening,Income
spca business district,Charity & Donations
baskinrobbins  canada dinner time,Food & Dining
goodwill,Charity & Donations
white house ,Government & Legal
burlington  weekday,Shopping & Retail
nyu langone  store,Healthcare & Medical
mri canada branch,Healthcare & Medical
xfinity,Utilities & Services
police department store,Government & Legal
highway patrol store,Government & Legal
taxi,Transportation
congress,Government & Legal
annuity,Income
consulting branch,Income
credit store,Income
secret service mall,Government & Legal
gift,Charity & Donations
national parks india,Charity & Donations
rite aid night,Healthcare & Medical
starbucks  uk,Food & Dining
tj maxx,Shopping & Retail
state police australia,Government & Legal
southwest airlines uk,Transportation
raising canes branch,Food & Dining
td bank india branch,Financial Services
whole foods,Food & Dining
verizon,Utilities & Services
peter pan,Transportation
qdoba,Food & Dining
quiznos,Food & Dining
dollar weekend,Transportation
hulu,Entertainment & Recreation
offering,Charity & Donations
verizon canada,Utilities & Services
nordstrom rack,Shopping & Retail
charter uk store,Utilities & Services
fulltime 6729,Income
hsbc branch,Financial Services
ebay lunch time,Shopping & Retail
temple australia branch,Charity & Donations
megabus,Transportation
federal building store txn,Government & Legal
septa evening,Transportation
regions bank txn,Financial Services
dea ,Government & Legal
walmart supercenter,Food & Dining
donation,Charity & Donations
ambulance,Government & Legal
cable company,Utilities & Services
starlink mall,Utilities & Services
dart,Transportation
united uk store hospital,Transportation
insurance  uk branch,Financial Services
gift  hospital,Charity & Donations
jetblue,Transportation
fair usa branch,Entertainment & Recreation
uber,Transportation
dunkin donuts txn,Food & Dining
audubon society  rush hour,Charity & Donations
mr. sub  holiday,Food & Dining
wealth management ,Financial Services
interest txn212580,Income
five guys,Food & Dining
td bank txn,Financial Services
hm center,Shopping & Retail
frontier,Utilities & Services
ups store,Shopping & Retail
johns hopkins,Healthcare & Medical
maternity leave,Income
credit union store,Financial Services
senate store,Government & Legal
paintball ,Entertainment & Recreation
investment bank,Financial Services
fitness,Entertainment & Recreation
direct deposit store,Income
cargo,Transportation
mutual fund ,Financial Services
southwest airlines  uk,Transportation
viasat australia evening,Utilities & Services
comcast  store txn,Utilities & Services
raising canes,Food & Dining
paintball branch,Entertainment & Recreation
dollar australia weekday,Transportation
panda express australia store,Food & Dining
santander ,Financial Services
trampoline park  afternoon,Entertainment & Recreation
electric company store,Utilities & Services
fundraising store branch,Charity & Donations
saks fifth avenue uk night,Shopping & Retail
family dollar branch,Shopping & Retail
swimming pool txn,Entertainment & Recreation
dental,Healthcare & Medical
notary,Government & Legal
electric company  canada,Utilities & Services
blimpie ,Food & Dining
tmobile,Utilities & Services
wmata,Transportation
white castle ,Food & Dining
anytime fitness,Entertainment & Recreation
baja fresh australia,Food & Dining
freelance afternoon,Income
fulltime 9235 store,Income
commission uk,Income
cardiologist  branch,Healthcare & Medical
uber weekend,Transportation
local food bank,Charity & Donations
culvers,Food & Dining
paintball  txn,Entertainment & Recreation
payroll,Income
yoga studio night,Entertainment & Recreation
wage usa,Income
walgreens center txn,Healthcare & Medical
royalty,Income
sparklight  store,Utilities & Services
nyu langone  usa,Healthcare & Medical
walmart,Shopping & Retail
taco bell canada,Food & Dining
paternity leave 1936,Income
dollar tree,Shopping & Retail
big lots weekday,Shopping & Retail
cedarssinai,Healthcare & Medical
laser tag campus,Entertainment & Recreation
golds gym,Entertainment & Recreation
fair  store strip mall,Entertainment & Recreation
gig work uk store,Income
mta txn,Transportation
shake shack,Food & Dining
bp  usa center,Transportation
xfinity  australia business district,Utilities & Services
parttime,Income
hertz uk,Transportation
walkin clinic mall,Healthcare & Medical
franchise,Income
regions bank,Financial Services
cashback,Income
satellite internet canada,Utilities & Services
offering,Charity & Donations
train txn,Transportation
cardiologist  branch,Healthcare & Medical
satellite internet dinner time,Utilities & Services
saks off th,Shopping & Retail
rallys txn,Food & Dining
gift,Charity & Donations
synagogue ,Charity & Donations
municipal building,Government & Legal
spotify ,Entertainment & Recreation
veterans organization,Charity & Donations
staples australia,Shopping & Retail
 hour fitness ,Entertainment & Recreation
macys,Shopping & Retail
best buy  morning,Shopping & Retail
synagogue,Charity & Donations
doctors without borders,Charity & Donations
chickfila branch,Food & Dining
concert,Entertainment & Recreation
festival,Entertainment & Recreation
holiday pay australia,Income
amazon prime uk,Entertainment & Recreation
innout ,Food & Dining
sparklight uk store,Utilities & Services
marta india,Transportation
swimming pool ,Entertainment & Recreation
spirit store,Transportation
whole foods center hospital,Food & Dining
adidas australia,Shopping & Retail
bmo harris  canada,Financial Services
payroll center holiday,Income
habitat for humanity,Charity & Donations
comerica ,Financial Services
crossfit canada store,Entertainment & Recreation
verizon  store,Utilities & Services
wow txn,Utilities & Services
dermatologist morning,Healthcare & Medical
interest,Income
permit,Government & Legal
tax  usa branch txn,Government & Legal
gift  branch center,Charity & Donations
ngo,Charity & Donations
insurance store,Financial Services
fbi uk rush hour,Government & Legal
popeyes,Food & Dining
fitness usa branch,Entertainment & Recreation
moes southwest grill txn,Food & Dining
childrens hospital  txn,Healthcare & Medical
peter pan  store,Transportation
amnesty international uk dinner time,Charity & Donations
audubon society store evening,Charity & Donations
primary care txn,Healthcare & Medical
rite aid branch,Healthcare & Medical
bmo harris canada,Financial Services
pharmacy,Healthcare & Medical
united way canada,Charity & Donations
transfer  uk store,Financial Services
occupational therapy  india,Healthcare & Medical
deposit usa store,Income
chase usa store,Financial Services
escape room,Entertainment & Recreation
bojangles,Food & Dining
nyu langone weekend,Healthcare & Medical
tsa,Government & Legal
bookkeeping,Financial Services
chiropractor  india,Healthcare & Medical
delta  store,Transportation
atlantic broadband  usa dinner time,Utilities & Services
contract work,Income
viasat,Utilities & Services
wells fargo ,Financial Services
barneys new york  store,Shopping & Retail
lowes  canada,Shopping & Retail
orange theory  campus,Entertainment & Recreation
taxi ,Transportation
exxon shopping center,Transportation
regions bank ,Financial Services
allegiant ,Transportation
apple store ,Shopping & Retail
red cross  india airport,Charity & Donations
water company,Utilities & Services
xfinity weekday,Utilities & Services
ikea  holiday,Shopping & Retail
nsa,Government & Legal
contract work 8611 weekend,Income
direct deposit night,Income
franchise store center residential,Income
panda express ,Food & Dining
cinema hospital,Entertainment & Recreation
retirement ,Financial Services
home depot store,Shopping & Retail
shell ,Transportation
five guys,Food & Dining
social security usa,Income
suntrust,Financial Services
city hall,Government & Legal
mayo clinic store,Healthcare & Medical
keybank  store night,Financial Services
xray store txn,Healthcare & Medical
huntington bank,Financial Services
state police afternoon,Government & Legal
atm,Financial Services
belk usa,Shopping & Retail
cold stone creamery usa lunch time,Food & Dining
nature conservancy ,Charity & Donations
comerica evening,Financial Services
avis,Transportation
five guys canada weekday,Food & Dining
theater station,Entertainment & Recreation
pension 3894 center,Income
arcade  weekend,Entertainment & Recreation
rite aid ,Shopping & Retail
budget txn,Transportation
bank usa,Financial Services
apple store ,Shopping & Retail
home depot  uk branch mall,Shopping & Retail
arbys  store,Food & Dining
local food bank australia,Charity & Donations
wifi  store strip mall,Utilities & Services
mortgage uk store,Financial Services
business wifi india,Utilities & Services
kroger pharmacy night,Healthcare & Medical
brigham and womens,Healthcare & Medical
local food bank txn,Charity & Donations
jack in the box center,Food & Dining
frontier  txn,Utilities & Services
audubon society store,Charity & Donations
cleveland clinic ,Healthcare & Medical
parttime uk,Income
cinemark ,Entertainment & Recreation
parking  store morning,Transportation
spirit ,Transportation
potbelly txn,Food & Dining
city hall  night,Government & Legal
temple shopping center,Charity & Donations
highway patrol canada,Government & Legal
reward,Income
fulltime india,Income
dillards usa,Shopping & Retail
tax  usa branch,Government & Legal
att ,Utilities & Services
anytime fitness  uk store,Entertainment & Recreation
rcn txn,Utilities & Services
nsa,Government & Legal
starlink  station,Utilities & Services
loan  store,Financial Services
wage uk weekend,Income
gym ,Entertainment & Recreation
google fiber  canada branch center,Utilities & Services
pension,Income
sheriff india store,Government & Legal
fiber  store,Utilities & Services
shell,Transportation
tmobile  store,Utilities & Services
amnesty international,Charity & Donations
rcn,Utilities & Services
netflix  store,Entertainment & Recreation
audubon society,Charity & Donations
accounting center,Financial Services
visa,Government & Legal
first national  store business district,Financial Services
family dollar,Shopping & Retail
spirit,Transportation
mr. sub,Food & Dining
gas company uk store,Utilities & Services
taxi,Transportation
windstream ,Utilities & Services
qdoba,Food & Dining
tmobile,Utilities & Services
chipotle  mall,Food & Dining
getaround,Transportation
chipotle,Food & Dining
goodwill branch,Charity & Donations
national,Transportation
mri,Healthcare & Medical
homeless shelter australia branch,Charity & Donations
nyu langone usa store,Healthcare & Medical
atf uk,Government & Legal
amc ,Entertainment & Recreation
national parks,Charity & Donations
banking  dinner time,Financial Services
centurylink branch txn,Utilities & Services
lowes  store rush hour,Shopping & Retail
us bank  txn,Financial Services
childrens hospital ,Healthcare & Medical
jimmy johns australia,Food & Dining
walgreens ,Healthcare & Medical
mri australia store holiday,Healthcare & Medical
whole foods airport,Food & Dining
payroll,Income
red cross,Charity & Donations
mobile,Utilities & Services
allegiant  india,Transportation
charter,Utilities & Services
gym,Entertainment & Recreation
national parks,Charity & Donations
wow uk center,Utilities & Services
wwf  afternoon,Charity & Donations
dart ,Transportation
nyu langone  store center,Healthcare & Medical
psychiatrist usa,Healthcare & Medical
enterprise airport,Transportation
five guys india,Food & Dining
disney+ ,Entertainment & Recreation
cedarssinai residential,Healthcare & Medical
hsbc  lunch time,Financial Services
festival night,Entertainment & Recreation
windstream uk,Utilities & Services
cedarssinai  txn,Healthcare & Medical
goodwill  store,Charity & Donations
festival,Entertainment & Recreation
moes southwest grill ,Food & Dining
cashback lunch time,Income
reimbursement,Income
walmart pharmacy,Healthcare & Medical
fbi ,Government & Legal
childrens hospital ,Healthcare & Medical
canes canada store,Food & Dining
parttime center night,Income
hawaiian airlines,Transportation
zara,Shopping & Retail
rallys  canada,Food & Dining
